scenario,year,mean,low,high
ssp585,2053,1.7700600852294504,1.4956548117735906,2.0157985018788054
ssp585,2054,1.9232604429061364,1.7098004532909385,2.183317565374807
ssp585,2055,1.8395730531422412,1.520821034513574,2.1381248362914107
ssp585,2056,1.8026382770518883,1.4456207369882463,2.107519505675725
ssp585,2057,1.9597673974016818,1.6138727751932151,2.2915170583507916
ssp585,2058,2.0326150214136,1.9325693471116665,2.1934257424854877
ssp585,2059,2.0064659494313446,1.8127020498990305,2.2398082336338234
ssp585,2060,2.0760499452870627,1.8060087642280678,2.3512802241666577
ssp585,2061,2.173124422426838,1.9103619106351175,2.4529307420633018
ssp585,2062,2.3231800790537327,2.1286537986863436,2.5172356831835145
ssp585,2063,2.2852513031495696,2.0926420986729113,2.546402648841081
ssp585,2064,2.312400434571297,1.8343157829985444,2.6769686740457246
ssp585,2065,2.3523263483652386,1.9289766271131157,2.614664238218097
ssp585,2066,2.4657243370652018,2.2525712072669535,2.8340777349442305
ssp585,2067,2.439971730544793,2.0988532056302915,2.959844992810986
ssp585,2068,2.4533745816998853,2.1322729754459715,2.945250596373967
ssp585,2069,2.5460585991397124,2.1564590266973482,2.998272371772714
ssp585,2070,2.623080808614153,2.174757665100458,3.0805896083200537
ssp585,2071,2.749104269397378,2.357283244378891,3.204582293903968
ssp585,2072,2.6885930434020415,2.257811897448107,3.027133617592426
ssp585,2073,2.760120995337786,2.471235858811042,3.025222914446715
ssp585,2074,2.851406521952242,2.4500008152001556,3.427224260823209
ssp585,2075,2.915956083170272,2.406092453979568,3.409806487742287
ssp585,2076,2.9751636076041827,2.506985744663666,3.377377667499104
ssp585,2077,3.050392389581077,2.691368768234497,3.489065519215046
ssp585,2078,3.2146172043925767,2.805769826408266,3.540901209536287
ssp585,2079,3.23456107981292,2.904794665106124,3.567121579496188
ssp585,2080,3.367285356193179,2.979897486441473,3.827647208832559
ssp585,2081,3.454999453810899,2.9975388355934456,4.0158596000262605
ssp585,2082,3.4651634361877846,2.967412189662298,3.9475322230832717
ssp585,2083,3.575598637082711,3.118643593900117,4.1603265346191165
ssp585,2084,3.6274730778437934,3.129172991474661,4.186589972167724
ssp585,2085,3.6200425537761967,3.106060495432075,4.104261146278418
ssp585,2086,3.694261938223633,3.3237202224074167,4.253021003842605
ssp585,2087,3.6456322049031087,3.1320114469729106,4.347644495922566
ssp585,2088,3.7370765820858196,3.200534659405548,4.447723620527199
ssp585,2089,3.890008069409513,3.448058962788707,4.505912812539236
ssp585,2090,4.011272606224661,3.5969817770918553,4.6093949967203685
ssp585,2091,3.9222041485957484,3.4073464493134793,4.540837250832396
ssp585,2092,4.031280746125503,3.5000795039520085,4.694789330887147
ssp585,2093,4.164792559589785,3.6655661742737493,4.802248687759743
ssp585,2094,4.069915694828391,3.6338060997370576,4.659566967673754
ssp585,2095,4.215453452160413,3.681212879728264,4.961920870811355
ssp585,2096,4.306075223453187,3.732038489137153,5.027676182540631
ssp585,2097,4.331858701269236,3.8572447423749168,5.115160410180351
ssp585,2098,4.375638556010453,3.8329289040530057,5.1732567734051145
ssp585,2099,4.446998246282533,3.986243872392947,5.153612129808607
ssp585,2100,4.568106805855886,3.990785213305969,5.40852337667161
